nCells: 20x20, dx: 0.1, dy: 0.1

p (22x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21|  -0.0362  -0.0362  -0.0263  -0.0203   -0.016  -0.0127 -0.00992 -0.00749 -0.00529 -0.00323 -0.00124 0.000724  0.00271  0.00477  0.00697  0.00939   0.0122   0.0155   0.0198    0.026   0.0362   0.0362
       20|  -0.0362  -0.0362  -0.0263  -0.0203   -0.016  -0.0127 -0.00992 -0.00749 -0.00529 -0.00323 -0.00124 0.000724  0.00271  0.00477  0.00697  0.00939   0.0122   0.0155   0.0198    0.026   0.0362   0.0362
       19|  -0.0263  -0.0263  -0.0225  -0.0185  -0.0151  -0.0121 -0.00957 -0.00727 -0.00515 -0.00315 -0.00121 0.000703  0.00264  0.00464  0.00676  0.00906   0.0116   0.0146    0.018   0.0221   0.0261   0.0261
       18|  -0.0205  -0.0205  -0.0187  -0.0162  -0.0136  -0.0112 -0.00896 -0.00687 -0.00489   -0.003 -0.00116 0.000664  0.00251   0.0044  0.00637  0.00847   0.0107   0.0132   0.0157   0.0183   0.0202   0.0202
       17|  -0.0166  -0.0166  -0.0155  -0.0139   -0.012  -0.0101 -0.00819 -0.00634 -0.00455 -0.00281  -0.0011 0.000609  0.00232  0.00407  0.00586  0.00772  0.00963   0.0116   0.0135   0.0152   0.0162   0.0162
       16|  -0.0137  -0.0137   -0.013  -0.0119  -0.0105 -0.00896 -0.00736 -0.00576 -0.00417 -0.00259 -0.00102 0.000543  0.00211  0.00369  0.00529   0.0069  0.00851   0.0101   0.0115   0.0126   0.0133   0.0133
       15|  -0.0114  -0.0114   -0.011  -0.0102 -0.00912 -0.00788 -0.00655 -0.00516 -0.00376 -0.00235-0.000941 0.000472  0.00189   0.0033   0.0047  0.00609  0.00743  0.00868  0.00977   0.0106    0.011    0.011
       14| -0.00968 -0.00968 -0.00935 -0.00874 -0.00789 -0.00689 -0.00577 -0.00459 -0.00337 -0.00212-0.000862   0.0004  0.00166  0.00291  0.00414  0.00533  0.00645  0.00746  0.00831  0.00893  0.00926  0.00926
       13| -0.00824 -0.00824 -0.00799 -0.00751 -0.00683 -0.00601 -0.00507 -0.00406   -0.003  -0.0019-0.000787 0.000332  0.00145  0.00254  0.00361  0.00463  0.00557   0.0064  0.00708  0.00757  0.00782  0.00782
       12| -0.00706 -0.00706 -0.00686 -0.00647 -0.00592 -0.00524 -0.00445 -0.00358 -0.00266  -0.0017-0.000719 0.000267  0.00125  0.00221  0.00313    0.004   0.0048  0.00549  0.00604  0.00643  0.00663  0.00663
