nCells: 20x20, dx: 0.1, dy: 0.1

p (22x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21| -0.00882 -0.00882 -0.00355 -0.00286 -0.00297 -0.00327 -0.00363 -0.00402 -0.00439 -0.00476 -0.00511 -0.00546 -0.00586 -0.00641 -0.00731 -0.00891  -0.0114  -0.0114-0.000708   0.0328   0.0884   0.0884
       20| -0.00882 -0.00882 -0.00355 -0.00286 -0.00297 -0.00327 -0.00363 -0.00402 -0.00439 -0.00476 -0.00511 -0.00546 -0.00586 -0.00641 -0.00731 -0.00891  -0.0114  -0.0114-0.000708   0.0328   0.0884   0.0884
       19| -0.00498 -0.00498 -0.00443 -0.00402 -0.00387 -0.00392 -0.00409 -0.00432 -0.00456 -0.00482 -0.00508 -0.00535 -0.00567 -0.00613 -0.00695 -0.00855  -0.0117  -0.0159  -0.0142  0.00385   0.0361   0.0361
       18| -0.00368 -0.00368  -0.0036 -0.00349 -0.00348 -0.00356  -0.0037 -0.00388 -0.00408 -0.00427 -0.00448 -0.00469 -0.00495 -0.00534 -0.00602 -0.00732 -0.00976  -0.0134   -0.015 -0.00598   0.0101   0.0101
       17| -0.00295 -0.00295 -0.00298 -0.00298 -0.00302  -0.0031 -0.00322 -0.00335 -0.00349 -0.00363 -0.00377 -0.00391 -0.00408 -0.00431 -0.00469 -0.00533 -0.00639  -0.0077 -0.00748 -0.00167  0.00655  0.00655
       16| -0.00244 -0.00244 -0.00249 -0.00253 -0.00258 -0.00266 -0.00274 -0.00284 -0.00293 -0.00301 -0.00307 -0.00312 -0.00315 -0.00317 -0.00318 -0.00316 -0.00301 -0.00236-0.000342  0.00417  0.00877  0.00877
       15| -0.00204 -0.00204  -0.0021 -0.00214 -0.00219 -0.00224  -0.0023 -0.00235 -0.00239 -0.00241  -0.0024 -0.00236 -0.00226 -0.00209  -0.0018 -0.00133-0.000486 0.000961  0.00333   0.0066  0.00928  0.00928
       14| -0.00171 -0.00171 -0.00175 -0.00179 -0.00183 -0.00187  -0.0019 -0.00191 -0.00191 -0.00187  -0.0018 -0.00167 -0.00147 -0.00117-0.000713-2.18e-05  0.00101  0.00248  0.00439  0.00645   0.0079   0.0079
       13| -0.00142 -0.00142 -0.00146 -0.00149 -0.00151 -0.00153 -0.00153 -0.00151 -0.00147  -0.0014 -0.00128 -0.00109-0.000828-0.000455 6.94e-05 0.000789  0.00175  0.00296  0.00432  0.00554  0.00627  0.00627
       12| -0.00116 -0.00116 -0.00119 -0.00121 -0.00122 -0.00122 -0.00121 -0.00117  -0.0011 -0.00099-0.000835-0.000619-0.000325 6.86e-05 0.000585  0.00124  0.00205  0.00297   0.0039  0.00464  0.00501  0.00501
       11|-0.000937-0.000937-0.000962-0.000974-0.000973-0.000958-0.000923-0.000865-0.000776-0.000649-0.000476-0.000247 5.14e-05 0.000432 0.000903  0.00147  0.00212   0.0028  0.00344   0.0039   0.0041   0.0041
       10|-0.000739-0.000739-0.000759-0.000763-0.000754-0.000727 -0.00068-0.000609-0.000507 -0.00037-0.000191 3.81e-05 0.000324 0.000673  0.00109  0.00156  0.00207  0.00257  0.00302  0.00332  0.00344  0.00344
        9|-0.000567-0.000567-0.000582-0.000581-0.000564 -0.00053-0.000475-0.000395-0.000287-0.000146 3.14e-05 0.000251 0.000516 0.000827  0.00118  0.00157  0.00197  0.00235  0.00267  0.00288  0.00295  0.00295
        8|-0.000419-0.000419 -0.00043-0.000425-0.000403-0.000363-0.000303-0.000219-0.000109 3.03e-05 0.000202 0.000407 0.000648 0.000922  0.00122  0.00154  0.00186  0.00215  0.00238  0.00253  0.00258  0.00258
        7|-0.000294-0.000294-0.000303-0.000294-0.000269-0.000226-0.000162-7.68e-05 3.26e-05 0.000168  0.00033 0.000521 0.000738 0.000978  0.00123   0.0015  0.00175  0.00198  0.00216  0.00227   0.0023   0.0023
        6|-0.000192-0.000192-0.000198-0.000188 -0.00016-0.000114-4.96e-05 3.58e-05 0.000143 0.000273 0.000426 0.000602 0.000797  0.00101  0.00123  0.00145  0.00166  0.00184  0.00198  0.00207  0.00209  0.00209
        5|-0.000111-0.000111-0.000116-0.000104-7.44e-05-2.76e-05 3.77e-05 0.000122 0.000227 0.000352 0.000496 0.000659 0.000836  0.00103  0.00122  0.00141  0.00158  0.00173  0.00185  0.00192  0.00193  0.00193
        4|-5.15e-05-5.15e-05-5.48e-05-4.13e-05 -1.1e-05 3.66e-05 0.000102 0.000186 0.000288 0.000408 0.000546 0.000698 0.000862  0.00103  0.00121  0.00137  0.00153  0.00165  0.00175  0.00181  0.00182  0.00182
