nCells: 20x20, dx: 0.1, dy: 0.1

p (22x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21| -0.00951 -0.00951 -0.00402 -0.00297 -0.00278 -0.00282 -0.00296 -0.00317 -0.00347 -0.00387 -0.00438 -0.00506 -0.00597 -0.00718 -0.00874  -0.0104  -0.0112 -0.00714  0.00931   0.0496    0.112    0.112
       20| -0.00951 -0.00951 -0.00402 -0.00297 -0.00278 -0.00282 -0.00296 -0.00317 -0.00347 -0.00387 -0.00438 -0.00506 -0.00597 -0.00718 -0.00874  -0.0104  -0.0112 -0.00714  0.00931   0.0496    0.112    0.112
       19| -0.00546 -0.00546 -0.00479 -0.00413 -0.00375  -0.0036 -0.00361 -0.00372 -0.00394 -0.00428 -0.00476 -0.00541  -0.0063 -0.00752 -0.00921  -0.0113  -0.0134  -0.0137 -0.00655   0.0167   0.0533   0.0533
       18| -0.00421 -0.00421 -0.00404 -0.00375 -0.00358 -0.00353 -0.00358 -0.00373 -0.00398 -0.00434 -0.00484 -0.00554  -0.0065 -0.00785 -0.00976  -0.0123  -0.0151  -0.0167  -0.0144 -0.00382   0.0126   0.0126
       17|  -0.0035  -0.0035 -0.00347 -0.00337 -0.00331 -0.00333 -0.00342  -0.0036 -0.00387 -0.00426 -0.00479 -0.00553 -0.00659 -0.00812  -0.0104  -0.0135  -0.0173  -0.0202    -0.02  -0.0148 -0.00675 -0.00675
       16|   -0.003   -0.003 -0.00301   -0.003 -0.00301 -0.00307 -0.00319 -0.00338 -0.00366 -0.00405 -0.00458 -0.00532 -0.00641 -0.00805  -0.0106  -0.0143  -0.0191  -0.0233  -0.0242    -0.02  -0.0143  -0.0143
       15| -0.00259 -0.00259 -0.00262 -0.00264 -0.00268 -0.00277 -0.00289 -0.00308 -0.00334  -0.0037 -0.00419 -0.00487 -0.00588 -0.00744 -0.00994  -0.0138  -0.0188  -0.0231  -0.0236  -0.0193  -0.0145  -0.0145
       14| -0.00222 -0.00222 -0.00226 -0.00229 -0.00235 -0.00243 -0.00255 -0.00271 -0.00293 -0.00323 -0.00363 -0.00418 -0.00499 -0.00625 -0.00826  -0.0114  -0.0153  -0.0186  -0.0183   -0.014 -0.00993 -0.00993
       13| -0.00188 -0.00188 -0.00191 -0.00195   -0.002 -0.00207 -0.00216 -0.00229 -0.00245 -0.00267 -0.00295 -0.00333 -0.00386 -0.00466 -0.00589 -0.00774    -0.01  -0.0116  -0.0105 -0.00646 -0.00321 -0.00321
       12| -0.00155 -0.00155 -0.00158 -0.00161 -0.00165  -0.0017 -0.00177 -0.00185 -0.00195 -0.00207 -0.00222  -0.0024 -0.00265 -0.00298 -0.00345 -0.00408 -0.00471 -0.00469 -0.00289 0.000594  0.00296  0.00296
       11| -0.00124 -0.00124 -0.00127 -0.00129 -0.00131 -0.00134 -0.00137  -0.0014 -0.00144 -0.00147 -0.00149 -0.00151  -0.0015 -0.00147 -0.00137 -0.00116-0.000692 0.000427  0.00248  0.00517  0.00674  0.00674
       10|-0.000953-0.000953-0.000972-0.000984-0.000992-0.000995-0.000991-0.000979-0.000953-0.000906 -0.00083 -0.00071-0.000525-0.000243 0.000183 0.000822  0.00183  0.00324  0.00505  0.00688  0.00783  0.00783
        9|-0.000684-0.000684-0.000698-0.000701-0.000693-0.000674-0.000641-0.000589-0.000513-0.000405-0.000252-3.72e-05 0.000262 0.000678  0.00125  0.00205   0.0031  0.00437  0.00571  0.00681  0.00734  0.00734
        8|-0.000442-0.000442-0.000451-0.000444-0.000423-0.000385-0.000327-0.000244 -0.00013 2.37e-05 0.000229 0.000502 0.000861  0.00133  0.00194  0.00272  0.00364  0.00464  0.00558  0.00623  0.00649  0.00649
        7|-0.000228-0.000228-0.000233-0.000219-0.000186-0.000132-5.46e-05 5.19e-05 0.000193 0.000378 0.000615 0.000917   0.0013  0.00177  0.00236  0.00305  0.00381  0.00457  0.00523  0.00565  0.00578  0.00578
        6|-4.55e-05-4.55e-05-4.81e-05-2.78e-05 1.44e-05 8.02e-05 0.000173 0.000297 0.000457  0.00066 0.000914  0.00123  0.00161  0.00206  0.00259  0.00319  0.00381   0.0044  0.00488  0.00517  0.00525  0.00525
        5| 0.000103 0.000103 0.000103 0.000128 0.000177 0.000252 0.000356 0.000491 0.000664 0.000877  0.00114  0.00145  0.00182  0.00225  0.00272  0.00323  0.00375  0.00422  0.00459  0.00481  0.00486  0.00486
        4| 0.000215 0.000215 0.000217 0.000246 0.000301 0.000382 0.000494 0.000638 0.000818  0.00104   0.0013  0.00161  0.00196  0.00236  0.00279  0.00324  0.00367  0.00406  0.00436  0.00454  0.00458  0.00458
        3| 0.000291 0.000291 0.000295 0.000326 0.000385 0.000471 0.000588 0.000738 0.000924  0.00115  0.00141  0.00171  0.00205  0.00243  0.00283  0.00323  0.00361  0.00395   0.0042  0.00435  0.00439  0.00439
        2| 0.000331 0.000331 0.000336 0.000369  0.00043  0.00052 0.000641 0.000795 0.000984  0.00121  0.00147  0.00177  0.00211  0.00247  0.00285  0.00322  0.00358  0.00388  0.00411  0.00425  0.00428  0.00428
        1| 0.000337 0.000337 0.000343 0.000376 0.000438 0.000529 0.000653 0.000809    0.001  0.00123   0.0015   0.0018  0.00213  0.00249  0.00286  0.00323  0.00357  0.00386  0.00408  0.00421  0.00425  0.00425
        0| 0.000337 0.000337 0.000343 0.000376 0.000438 0.000529 0.000653 0.000809    0.001  0.00123   0.0015   0.0018  0.00213  0.00249  0.00286  0.00323  0.00357  0.00386  0.00408  0.00421  0.00425  0.00425

