nCells: 20x20, dx: 0.1, dy: 0.1

p (22x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21| -0.00934 -0.00934  -0.0039 -0.00291 -0.00277 -0.00283 -0.00299 -0.00322 -0.00352 -0.00392 -0.00443  -0.0051 -0.00601 -0.00729 -0.00908  -0.0114  -0.0136  -0.0117  0.00329   0.0441    0.109    0.109
       20| -0.00934 -0.00934  -0.0039 -0.00291 -0.00277 -0.00283 -0.00299 -0.00322 -0.00352 -0.00392 -0.00443  -0.0051 -0.00601 -0.00729 -0.00908  -0.0114  -0.0136  -0.0117  0.00329   0.0441    0.109    0.109
       19| -0.00531 -0.00531 -0.00467 -0.00405 -0.00371 -0.00358 -0.00361 -0.00373 -0.00396  -0.0043 -0.00476 -0.00539 -0.00626 -0.00752 -0.00937  -0.0121  -0.0156  -0.0187  -0.0139  0.00944   0.0477   0.0477
       18| -0.00403 -0.00403 -0.00388 -0.00362 -0.00348 -0.00345 -0.00351 -0.00366  -0.0039 -0.00425 -0.00471 -0.00535 -0.00625 -0.00757 -0.00956  -0.0126   -0.017   -0.022   -0.023  -0.0127  0.00553  0.00553
       17|  -0.0033  -0.0033 -0.00328  -0.0032 -0.00316 -0.00319 -0.00328 -0.00345 -0.00369 -0.00403 -0.00449 -0.00512 -0.00601 -0.00734 -0.00941  -0.0128  -0.0179  -0.0239  -0.0272  -0.0217  -0.0112  -0.0112
       16|  -0.0028  -0.0028 -0.00282 -0.00281 -0.00283 -0.00288 -0.00299 -0.00315 -0.00338 -0.00369 -0.00411 -0.00467 -0.00547 -0.00664  -0.0085  -0.0116  -0.0163  -0.0218  -0.0244  -0.0199   -0.013   -0.013
       15| -0.00239 -0.00239 -0.00243 -0.00245 -0.00249 -0.00256 -0.00266  -0.0028   -0.003 -0.00325 -0.00358 -0.00402 -0.00462 -0.00549 -0.00681 -0.00893  -0.0121  -0.0155  -0.0165  -0.0123 -0.00733 -0.00733
       14| -0.00205 -0.00205 -0.00208 -0.00211 -0.00216 -0.00222 -0.00231 -0.00242 -0.00256 -0.00274 -0.00297 -0.00325  -0.0036 -0.00408 -0.00474 -0.00571 -0.00698 -0.00805 -0.00724 -0.00331 0.000333 0.000333
       13| -0.00173 -0.00173 -0.00177  -0.0018 -0.00183 -0.00188 -0.00194 -0.00201  -0.0021  -0.0022 -0.00231 -0.00243 -0.00255 -0.00267 -0.00277 -0.00282 -0.00271 -0.00202 -9.9e-05  0.00333  0.00597  0.00597
       12| -0.00145 -0.00145 -0.00147  -0.0015 -0.00152 -0.00155 -0.00158 -0.00162 -0.00165 -0.00167 -0.00168 -0.00165 -0.00158 -0.00144 -0.00116-0.000678 0.000171  0.00157  0.00366  0.00624  0.00801  0.00801
       11| -0.00118 -0.00118  -0.0012 -0.00122 -0.00123 -0.00124 -0.00124 -0.00124 -0.00122 -0.00117  -0.0011 -0.00097-0.000766-0.000452 2.36e-05 0.000739  0.00178  0.00317  0.00484  0.00649  0.00752  0.00752
       10|-0.000937-0.000937-0.000955-0.000963-0.000962-0.000952 -0.00093-0.000891-0.000829-0.000735-0.000598-0.000399-0.000116  0.00028 0.000827  0.00157  0.00253  0.00367  0.00484  0.00581  0.00634  0.00634
        9|-0.000718-0.000718-0.000731-0.000731-0.000718-0.000692-0.000649-0.000583 -0.00049-0.000361-0.000183 5.62e-05 0.000375 0.000794  0.00134  0.00202  0.00281  0.00368  0.00449  0.00508  0.00534  0.00534
        8|-0.000522-0.000522-0.000532-0.000525-0.000503-0.000463-0.000403-0.000319-0.000204-5.06e-05 0.000149 0.000407 0.000733  0.00114  0.00164  0.00222  0.00286  0.00351  0.00408  0.00446   0.0046   0.0046
        7|-0.000353-0.000353-0.000359-0.000347-0.000317-0.000267-0.000195-9.68e-05 3.26e-05 0.000199 0.000409 0.000669 0.000987  0.00137  0.00181   0.0023  0.00281   0.0033  0.00371  0.00398  0.00406  0.00406
        6|-0.000211-0.000211-0.000214-0.000197-0.000161-0.000104-2.36e-05 8.39e-05 0.000222 0.000394 0.000606 0.000861  0.00116  0.00151   0.0019  0.00231  0.00272  0.00311  0.00341   0.0036  0.00366  0.00366
        5|-9.57e-05-9.57e-05 -9.7e-05-7.72e-05-3.67e-05 2.59e-05 0.000113 0.000226 0.000368 0.000543 0.000752 0.000998  0.00128   0.0016  0.00194  0.00229  0.00263  0.00294  0.00318  0.00333  0.00337  0.00337
        4|-8.97e-06-8.97e-06-8.58e-06 1.37e-05 5.76e-05 0.000124 0.000215 0.000332 0.000477 0.000652 0.000857  0.00109  0.00136  0.00165  0.00195  0.00226  0.00255  0.00281  0.00301  0.00313  0.00316  0.00316
        3| 4.93e-05 4.93e-05 5.11e-05 7.52e-05 0.000122 0.000191 0.000285 0.000404 0.000551 0.000725 0.000928  0.00116  0.00141  0.00168  0.00196  0.00224   0.0025  0.00272  0.00289  0.00299  0.00302  0.00302
        2| 7.93e-05 7.93e-05 8.23e-05 0.000108 0.000156 0.000227 0.000323 0.000445 0.000593 0.000768 0.000969  0.00119  0.00144   0.0017  0.00197  0.00222  0.00246  0.00267  0.00282  0.00291  0.00294  0.00294
        1| 8.35e-05 8.35e-05 8.69e-05 0.000112 0.000161 0.000234 0.000332 0.000456 0.000606 0.000782 0.000984  0.00121  0.00145  0.00171  0.00197  0.00222  0.00246  0.00265   0.0028  0.00289  0.00292  0.00292
        0| 8.35e-05 8.35e-05 8.69e-05 0.000112 0.000161 0.000234 0.000332 0.000456 0.000606 0.000782 0.000984  0.00121  0.00145  0.00171  0.00197  0.00222  0.00246  0.00265   0.0028  0.00289  0.00292  0.00292

