nCells: 20x20, dx: 0.1, dy: 0.1

p (22x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21|  -0.0139  -0.0139 -0.00926 -0.00911 -0.00939 -0.00946 -0.00926 -0.00881 -0.00815 -0.00734 -0.00644 -0.00551  -0.0046 -0.00378 -0.00308  -0.0024  -0.0013  0.00136  0.00907   0.0285   0.0621   0.0621
       20|  -0.0139  -0.0139 -0.00926 -0.00911 -0.00939 -0.00946 -0.00926 -0.00881 -0.00815 -0.00734 -0.00644 -0.00551  -0.0046 -0.00378 -0.00308  -0.0024  -0.0013  0.00136  0.00907   0.0285   0.0621   0.0621
       19| -0.00999 -0.00999 -0.00976 -0.00963 -0.00951  -0.0093 -0.00894  -0.0084 -0.00772 -0.00693 -0.00605 -0.00514 -0.00424 -0.00339 -0.00266 -0.00207 -0.00159-0.000612   0.0028   0.0134   0.0312   0.0312
       18|  -0.0082  -0.0082 -0.00828 -0.00828 -0.00822 -0.00806 -0.00774 -0.00729  -0.0067   -0.006 -0.00522 -0.00439 -0.00352 -0.00265 -0.00177-0.000885 7.85e-05  0.00143   0.0042   0.0105   0.0187   0.0187
       17| -0.00705 -0.00705 -0.00713 -0.00714 -0.00708 -0.00692 -0.00664 -0.00624 -0.00573  -0.0051  -0.0044 -0.00362 -0.00277 -0.00187-0.000883 0.000243  0.00163  0.00354  0.00643   0.0107   0.0146   0.0146
       16| -0.00615 -0.00615 -0.00621  -0.0062 -0.00613 -0.00596  -0.0057 -0.00534 -0.00487 -0.00431 -0.00365 -0.00292  -0.0021 -0.00119-0.000162  0.00105  0.00253  0.00443  0.00684  0.00954   0.0115   0.0115
       15|  -0.0054  -0.0054 -0.00543 -0.00541 -0.00532 -0.00516 -0.00491 -0.00457 -0.00414 -0.00362 -0.00301 -0.00232 -0.00154-0.000666 0.000335  0.00149  0.00286  0.00446  0.00623  0.00789  0.00892  0.00892
       14| -0.00475 -0.00475 -0.00477 -0.00473 -0.00464 -0.00447 -0.00423 -0.00391 -0.00351 -0.00303 -0.00247 -0.00183 -0.00111 -0.00029  0.00063  0.00167  0.00282  0.00408  0.00533  0.00637  0.00693  0.00693
       13| -0.00419 -0.00419  -0.0042 -0.00415 -0.00405 -0.00389 -0.00366 -0.00336 -0.00299 -0.00254 -0.00203 -0.00144-0.000781-4.41e-05  0.00077  0.00166  0.00261  0.00357  0.00446  0.00514  0.00546  0.00546
       12| -0.00371 -0.00371 -0.00371 -0.00366 -0.00355 -0.00339 -0.00318  -0.0029 -0.00255 -0.00215 -0.00168 -0.00114 -0.00055 0.000101 0.000805  0.00155  0.00231  0.00305   0.0037  0.00416  0.00437  0.00437
       11| -0.00329 -0.00329 -0.00328 -0.00323 -0.00313 -0.00297 -0.00277 -0.00251 -0.00219 -0.00182  -0.0014-0.000919-0.000394 0.000174 0.000775  0.00139  0.00201  0.00258  0.00306  0.00339  0.00352  0.00352
       10| -0.00292 -0.00292 -0.00292 -0.00286 -0.00277 -0.00262 -0.00243 -0.00219  -0.0019 -0.00156 -0.00118-0.000754-0.000292 0.000199 0.000709  0.00122  0.00172  0.00216  0.00253  0.00277  0.00287  0.00287
        9| -0.00261 -0.00261  -0.0026 -0.00255 -0.00246 -0.00232 -0.00215 -0.00192 -0.00166 -0.00135 -0.00101-0.000635 -0.00023 0.000194 0.000627  0.00105  0.00146  0.00181  0.00209  0.00228  0.00235  0.00235
        8| -0.00235 -0.00235 -0.00234 -0.00229  -0.0022 -0.00208 -0.00191 -0.00171 -0.00147 -0.00119-0.000884 -0.00055-0.000195 0.000172 0.000542   0.0009  0.00123  0.00152  0.00174  0.00189  0.00194  0.00194
        7| -0.00214 -0.00214 -0.00212 -0.00208 -0.00199 -0.00188 -0.00172 -0.00153 -0.00131 -0.00106-0.000787 -0.00049-0.000177 0.000143  0.00046 0.000764  0.00104  0.00128  0.00146  0.00158  0.00162  0.00162
        6| -0.00196 -0.00196 -0.00195  -0.0019 -0.00182 -0.00171 -0.00157  -0.0014 -0.00119-0.000965-0.000715-0.000448 -0.00017 0.000112 0.000388  0.00065 0.000886  0.00109  0.00124  0.00133  0.00137  0.00137
        5| -0.00182 -0.00182 -0.00181 -0.00176 -0.00169 -0.00158 -0.00145 -0.00129  -0.0011-0.000891-0.000662-0.000419-0.000169 8.26e-05 0.000327 0.000557 0.000762 0.000934  0.00106  0.00115  0.00118  0.00118
        4| -0.00171 -0.00171  -0.0017 -0.00166 -0.00159 -0.00149 -0.00136 -0.00121 -0.00103-0.000836-0.000624  -0.0004-0.000171 5.85e-05  0.00028 0.000486 0.000669 0.000821 0.000936  0.00101  0.00103  0.00103
