nCells: 20x20, dx: 0.1, dy: 0.1

p (22x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21|  -0.0093  -0.0093 -0.00386 -0.00289 -0.00275 -0.00281 -0.00298 -0.00321 -0.00351 -0.00391 -0.00441 -0.00508 -0.00598 -0.00725 -0.00907  -0.0115   -0.014  -0.0126  0.00185   0.0427    0.108    0.108
       20|  -0.0093  -0.0093 -0.00386 -0.00289 -0.00275 -0.00281 -0.00298 -0.00321 -0.00351 -0.00391 -0.00441 -0.00508 -0.00598 -0.00725 -0.00907  -0.0115   -0.014  -0.0126  0.00185   0.0427    0.108    0.108
       19| -0.00527 -0.00527 -0.00463 -0.00402 -0.00368 -0.00356 -0.00359 -0.00372 -0.00394 -0.00427 -0.00473 -0.00535 -0.00621 -0.00746 -0.00931  -0.0121  -0.0159  -0.0196  -0.0156  0.00758   0.0462   0.0462
       18| -0.00398 -0.00398 -0.00383 -0.00359 -0.00345 -0.00342 -0.00348 -0.00363 -0.00387  -0.0042 -0.00466 -0.00529 -0.00616 -0.00744 -0.00941  -0.0125  -0.0171  -0.0227  -0.0246  -0.0145  0.00415  0.00415
       17| -0.00325 -0.00325 -0.00324 -0.00316 -0.00312 -0.00315 -0.00324  -0.0034 -0.00364 -0.00397 -0.00441 -0.00501 -0.00586 -0.00712 -0.00908  -0.0123  -0.0174  -0.0237  -0.0275  -0.0219  -0.0111  -0.0111
       16| -0.00275 -0.00275 -0.00277 -0.00277 -0.00278 -0.00284 -0.00294  -0.0031 -0.00332 -0.00361   -0.004 -0.00453 -0.00526 -0.00633 -0.00799  -0.0107   -0.015  -0.0202  -0.0229  -0.0184  -0.0115  -0.0115
       15| -0.00235 -0.00235 -0.00239 -0.00241 -0.00245 -0.00251 -0.00261 -0.00274 -0.00292 -0.00316 -0.00346 -0.00386 -0.00439 -0.00512 -0.00622 -0.00793  -0.0105  -0.0132  -0.0139 -0.00978 -0.00493 -0.00493
       14| -0.00201 -0.00201 -0.00205 -0.00208 -0.00212 -0.00218 -0.00226 -0.00236 -0.00249 -0.00265 -0.00285 -0.00308 -0.00337 -0.00373  -0.0042 -0.00483 -0.00559 -0.00606 -0.00488 -0.00102  0.00249  0.00249
       13|  -0.0017  -0.0017 -0.00174 -0.00177  -0.0018 -0.00185  -0.0019 -0.00196 -0.00204 -0.00212 -0.00221 -0.00229 -0.00236  -0.0024 -0.00237 -0.00222 -0.00183-0.000795  0.00128  0.00455  0.00704  0.00704
       12| -0.00142 -0.00142 -0.00145 -0.00148  -0.0015 -0.00153 -0.00155 -0.00158  -0.0016 -0.00161  -0.0016 -0.00155 -0.00145 -0.00125-0.000913-0.000348 0.000605  0.00206  0.00407  0.00639    0.008    0.008
       11| -0.00117 -0.00117 -0.00119 -0.00121 -0.00122 -0.00123 -0.00123 -0.00121 -0.00119 -0.00114 -0.00105 -0.00091-0.000691-0.000359 0.000134 0.000864  0.00188  0.00321  0.00473  0.00615  0.00704  0.00704
       10|-0.000936-0.000936-0.000954-0.000961 -0.00096-0.000949-0.000925-0.000884 -0.00082-0.000723-0.000582 -0.00038-9.66e-05 0.000297 0.000836  0.00155  0.00246   0.0035  0.00455   0.0054  0.00584  0.00584
        9|-0.000726-0.000726 -0.00074 -0.00074-0.000728-0.000701-0.000658-0.000593-0.000501-0.000372-0.000197 3.81e-05 0.000349 0.000753  0.00127  0.00191  0.00265  0.00344  0.00416  0.00468   0.0049   0.0049
        8|-0.000541-0.000541 -0.00055-0.000544-0.000523-0.000485-0.000426-0.000344-0.000232-8.31e-05  0.00011 0.000358 0.000671  0.00106  0.00153  0.00207  0.00266  0.00325  0.00376   0.0041  0.00422  0.00422
        7| -0.00038 -0.00038-0.000387-0.000375-0.000347-0.000299 -0.00023-0.000136-1.12e-05 0.000148 0.000349 0.000597 0.000898  0.00126  0.00167  0.00212  0.00259  0.00304  0.00341  0.00365  0.00372  0.00372
        6|-0.000246-0.000246 -0.00025-0.000234  -0.0002-0.000146 -6.9e-05 3.35e-05 0.000165 0.000329  0.00053 0.000771  0.00105  0.00138  0.00174  0.00212   0.0025  0.00285  0.00313   0.0033  0.00335  0.00335
        5|-0.000137-0.000137-0.000139-0.000121-8.28e-05-2.36e-05 5.85e-05 0.000166 0.000301 0.000467 0.000664 0.000895  0.00116  0.00145  0.00177   0.0021  0.00241  0.00269  0.00291  0.00304  0.00308  0.00308
        4|-5.58e-05-5.58e-05 -5.6e-05-3.55e-05 5.68e-06 6.84e-05 0.000154 0.000265 0.000402 0.000567  0.00076 0.000982  0.00123   0.0015  0.00178  0.00207  0.00233  0.00257  0.00275  0.00286  0.00289  0.00289
        3|-1.13e-06-1.13e-06-6.23e-08 2.23e-05 6.57e-05 0.000131 0.000219 0.000332  0.00047 0.000634 0.000824  0.00104  0.00127  0.00153  0.00179  0.00204  0.00228  0.00248  0.00264  0.00273  0.00276  0.00276
        2| 2.67e-05 2.67e-05  2.9e-05 5.25e-05 9.75e-05 0.000165 0.000255  0.00037  0.00051 0.000674 0.000862  0.00107   0.0013  0.00154  0.00179  0.00203  0.00225  0.00244  0.00258  0.00266  0.00269  0.00269
        1| 3.02e-05 3.02e-05 3.28e-05 5.65e-05 0.000102 0.000171 0.000263  0.00038 0.000521 0.000687 0.000876  0.00109  0.00131  0.00155  0.00179  0.00203  0.00224  0.00242  0.00256  0.00264  0.00267  0.00267
        0| 3.02e-05 3.02e-05 3.28e-05 5.65e-05 0.000102 0.000171 0.000263  0.00038 0.000521 0.000687 0.000876  0.00109  0.00131  0.00155  0.00179  0.00203  0.00224  0.00242  0.00256  0.00264  0.00267  0.00267

