nCells: 20x20, dx: 0.1, dy: 0.1

p (22x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21| -0.00916 -0.00916 -0.00374 -0.00281  -0.0027 -0.00279 -0.00297 -0.00322 -0.00354 -0.00394 -0.00445  -0.0051 -0.00598  -0.0072   -0.009  -0.0116  -0.0146  -0.0148 -0.00186   0.0384    0.104    0.104
       20| -0.00916 -0.00916 -0.00374 -0.00281  -0.0027 -0.00279 -0.00297 -0.00322 -0.00354 -0.00394 -0.00445  -0.0051 -0.00598  -0.0072   -0.009  -0.0116  -0.0146  -0.0148 -0.00186   0.0384    0.104    0.104
       19| -0.00516 -0.00516 -0.00453 -0.00395 -0.00364 -0.00353 -0.00358 -0.00371 -0.00395 -0.00428 -0.00473 -0.00532 -0.00613 -0.00729 -0.00906  -0.0118  -0.0161  -0.0214  -0.0194  0.00283   0.0418   0.0418
       18| -0.00387 -0.00387 -0.00373  -0.0035 -0.00338 -0.00336 -0.00344 -0.00359 -0.00382 -0.00414 -0.00457 -0.00514 -0.00592 -0.00705  -0.0088  -0.0117  -0.0164  -0.0229  -0.0267  -0.0171  0.00235  0.00235
       17| -0.00314 -0.00314 -0.00313 -0.00306 -0.00304 -0.00307 -0.00316 -0.00331 -0.00353 -0.00383 -0.00422 -0.00473 -0.00544 -0.00646 -0.00802  -0.0106  -0.0149  -0.0207  -0.0247  -0.0189 -0.00821 -0.00821
       16| -0.00264 -0.00264 -0.00267 -0.00267 -0.00269 -0.00275 -0.00284 -0.00298 -0.00317 -0.00342 -0.00374 -0.00415  -0.0047 -0.00545 -0.00656 -0.00828   -0.011  -0.0143   -0.016  -0.0115 -0.00496 -0.00496
       15| -0.00226 -0.00226  -0.0023 -0.00232 -0.00236 -0.00242  -0.0025 -0.00262 -0.00276 -0.00295 -0.00317 -0.00345 -0.00378  -0.0042 -0.00474 -0.00547 -0.00639 -0.00719 -0.00639 -0.00228  0.00208  0.00208
       14| -0.00194 -0.00194 -0.00197 -0.00201 -0.00204  -0.0021 -0.00216 -0.00224 -0.00234 -0.00245 -0.00257  -0.0027 -0.00283 -0.00294 -0.00299 -0.00294 -0.00267 -0.00176 0.000284  0.00384  0.00685  0.00685
       13| -0.00165 -0.00165 -0.00169 -0.00172 -0.00175 -0.00178 -0.00183 -0.00187 -0.00192 -0.00196 -0.00199 -0.00199 -0.00194 -0.00182 -0.00155 -0.00106-0.000178  0.00125  0.00335  0.00592  0.00783  0.00783
