nCells: 20x20, dx: 0.1, dy: 0.1

p (22x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21|  -0.0209  -0.0209  -0.0162   -0.015  -0.0139  -0.0124  -0.0108 -0.00919 -0.00756 -0.00599 -0.00447 -0.00299 -0.00154-5.37e-05  0.00149  0.00316   0.0052  0.00827   0.0141   0.0261   0.0476   0.0476
       20|  -0.0209  -0.0209  -0.0162   -0.015  -0.0139  -0.0124  -0.0108 -0.00919 -0.00756 -0.00599 -0.00447 -0.00299 -0.00154-5.37e-05  0.00149  0.00316   0.0052  0.00827   0.0141   0.0261   0.0476   0.0476
       19|  -0.0158  -0.0158  -0.0153  -0.0144  -0.0131  -0.0117  -0.0102 -0.00869 -0.00716 -0.00567  -0.0042 -0.00277 -0.00135 8.28e-05  0.00156  0.00313  0.00488  0.00711   0.0106   0.0175    0.028    0.028
       18|  -0.0128  -0.0128  -0.0126  -0.0121  -0.0113  -0.0102   -0.009 -0.00772  -0.0064 -0.00506 -0.00371 -0.00236-0.000997 0.000409  0.00189  0.00351  0.00536  0.00764   0.0107   0.0151   0.0196   0.0196
       17|  -0.0107  -0.0107  -0.0106  -0.0103 -0.00964 -0.00882 -0.00784 -0.00677 -0.00563 -0.00444 -0.00322 -0.00196-0.000668 0.000684  0.00213  0.00371   0.0055   0.0076   0.0101   0.0129    0.015    0.015
       16| -0.00918 -0.00918 -0.00909 -0.00879 -0.00829 -0.00763 -0.00682 -0.00591 -0.00491 -0.00386 -0.00275  -0.0016-0.000404 0.000858   0.0022  0.00366  0.00525    0.007  0.00887   0.0106   0.0117   0.0117
       15| -0.00791 -0.00791 -0.00783 -0.00758 -0.00717 -0.00661 -0.00593 -0.00514 -0.00428 -0.00334 -0.00235 -0.00131-0.000213 0.000936  0.00215  0.00343  0.00478  0.00617  0.00753  0.00864  0.00926  0.00926
       14| -0.00685 -0.00685 -0.00678 -0.00656 -0.00622 -0.00574 -0.00516 -0.00448 -0.00372 -0.00289   -0.002 -0.00107 -8.9e-05 0.000936    0.002   0.0031  0.00422  0.00531   0.0063  0.00706  0.00744  0.00744
       13| -0.00597 -0.00597  -0.0059 -0.00571 -0.00541   -0.005  -0.0045  -0.0039 -0.00324  -0.0025 -0.00172-0.000889-1.94e-05 0.000882  0.00181  0.00274  0.00365  0.00451  0.00525  0.00579  0.00604  0.00604
       12| -0.00522 -0.00522 -0.00516 -0.00499 -0.00473 -0.00438 -0.00393 -0.00341 -0.00283 -0.00218 -0.00149-0.000755 8.97e-06 0.000794  0.00159  0.00237  0.00312   0.0038  0.00437  0.00476  0.00494  0.00494
       11| -0.00458 -0.00458 -0.00453 -0.00439 -0.00416 -0.00385 -0.00346   -0.003 -0.00248 -0.00192  -0.0013-0.000659 8.72e-06 0.000689  0.00137  0.00203  0.00265  0.00319  0.00363  0.00394  0.00407  0.00407
       10| -0.00405 -0.00405   -0.004 -0.00387 -0.00367  -0.0034 -0.00306 -0.00265  -0.0022  -0.0017 -0.00116-0.000593-9.88e-06 0.000579  0.00116  0.00172  0.00223  0.00267  0.00303  0.00326  0.00337  0.00337
        9|  -0.0036  -0.0036 -0.00356 -0.00344 -0.00326 -0.00302 -0.00272 -0.00236 -0.00196 -0.00152 -0.00104-0.000548-3.89e-05 0.000471 0.000969  0.00144  0.00187  0.00224  0.00252  0.00271   0.0028   0.0028
        8| -0.00322 -0.00322 -0.00319 -0.00309 -0.00293 -0.00271 -0.00244 -0.00212 -0.00177 -0.00137-0.000955-0.000518-7.25e-05 0.000371 0.000801   0.0012  0.00157  0.00187  0.00211  0.00227  0.00233  0.00233
        7| -0.00291 -0.00291 -0.00288 -0.00279 -0.00265 -0.00245 -0.00221 -0.00193 -0.00161 -0.00126-0.000886-0.000499-0.000107 0.000282 0.000656    0.001  0.00132  0.00158  0.00178  0.00191  0.00196  0.00196
        6| -0.00266 -0.00266 -0.00263 -0.00255 -0.00242 -0.00224 -0.00203 -0.00177 -0.00148 -0.00117-0.000834-0.000488-0.000139 0.000206 0.000535  0.00084  0.00111  0.00134  0.00151  0.00162  0.00167  0.00167
        5| -0.00246 -0.00246 -0.00243 -0.00236 -0.00224 -0.00208 -0.00188 -0.00165 -0.00138  -0.0011-0.000795-0.000482-0.000166 0.000143 0.000438 0.000709 0.000948  0.00115   0.0013   0.0014  0.00144  0.00144
        4| -0.00231 -0.00231 -0.00228 -0.00221  -0.0021 -0.00195 -0.00177 -0.00155 -0.00131 -0.00105-0.000766-0.000478-0.000189 9.36e-05 0.000362 0.000608 0.000825    0.001  0.00114  0.00123  0.00126  0.00126
        3|  -0.0022  -0.0022 -0.00218 -0.00211 -0.00201 -0.00186 -0.00169 -0.00149 -0.00126 -0.00101-0.000746-0.000476-0.000206  5.8e-05 0.000308 0.000536 0.000737 0.000902  0.00103  0.00111  0.00114  0.00114
        2| -0.00214 -0.00214 -0.00211 -0.00205 -0.00195 -0.00181 -0.00164 -0.00145 -0.00123-0.000986-0.000734-0.000475-0.000216 3.59e-05 0.000274 0.000492 0.000683  0.00084 0.000959  0.00104  0.00107  0.00107
        1| -0.00211 -0.00211 -0.00209 -0.00202 -0.00192 -0.00179 -0.00162 -0.00143 -0.00121-0.000977-0.000729-0.000475 -0.00022 2.74e-05 0.000261 0.000475 0.000661 0.000815 0.000931  0.00101  0.00104  0.00104
        0| -0.00211 -0.00211 -0.00209 -0.00202 -0.00192 -0.00179 -0.00162 -0.00143 -0.00121-0.000977-0.000729-0.000475 -0.00022 2.74e-05 0.000261 0.000475 0.000661 0.000815 0.000931  0.00101  0.00104  0.00104

