nCells: 20x20, dx: 0.1, dy: 0.1

p (22x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21| -0.00912 -0.00912 -0.00373 -0.00284 -0.00277 -0.00289 -0.00311 -0.00339 -0.00374 -0.00416 -0.00467 -0.00531 -0.00613 -0.00725 -0.00891  -0.0113  -0.0145  -0.0152 -0.00322   0.0358   0.0996   0.0996
       20| -0.00912 -0.00912 -0.00373 -0.00284 -0.00277 -0.00289 -0.00311 -0.00339 -0.00374 -0.00416 -0.00467 -0.00531 -0.00613 -0.00725 -0.00891  -0.0113  -0.0145  -0.0152 -0.00322   0.0358   0.0996   0.0996
       19| -0.00516 -0.00516 -0.00454 -0.00399 -0.00371 -0.00363  -0.0037 -0.00387 -0.00412 -0.00446  -0.0049 -0.00546  -0.0062 -0.00724 -0.00882  -0.0114  -0.0156  -0.0213  -0.0201  0.00117   0.0392   0.0392
       18| -0.00387 -0.00387 -0.00374 -0.00353 -0.00343 -0.00343 -0.00353 -0.00369 -0.00393 -0.00424 -0.00463 -0.00515 -0.00583  -0.0068  -0.0083  -0.0108  -0.0151  -0.0214  -0.0253  -0.0158  0.00325  0.00325
       17| -0.00314 -0.00314 -0.00314 -0.00309 -0.00307 -0.00312 -0.00322 -0.00337 -0.00358 -0.00385 -0.00419 -0.00464 -0.00522 -0.00603 -0.00725 -0.00923  -0.0125  -0.0171  -0.0203  -0.0145 -0.00429 -0.00429
       16| -0.00265 -0.00265 -0.00269 -0.00269 -0.00272 -0.00278 -0.00288 -0.00301 -0.00318 -0.00339 -0.00366 -0.00398  -0.0044 -0.00494 -0.00568 -0.00676 -0.00835  -0.0102  -0.0106 -0.00601  3.4e-05  3.4e-05
       15| -0.00228 -0.00228 -0.00232 -0.00235 -0.00239 -0.00245 -0.00253 -0.00263 -0.00275  -0.0029 -0.00307 -0.00326 -0.00347 -0.00371 -0.00395 -0.00419 -0.00434 -0.00403 -0.00235  0.00168   0.0056   0.0056
       14| -0.00196 -0.00196   -0.002 -0.00204 -0.00207 -0.00212 -0.00218 -0.00225 -0.00233  -0.0024 -0.00248 -0.00254 -0.00257 -0.00255 -0.00241 -0.00209  -0.0014-9.18e-05  0.00213  0.00527  0.00779  0.00779
       13| -0.00169 -0.00169 -0.00172 -0.00175 -0.00179 -0.00182 -0.00185 -0.00189 -0.00191 -0.00193 -0.00192 -0.00188 -0.00177 -0.00156 -0.00121-0.000599 0.000363  0.00178  0.00365  0.00569  0.00713  0.00713
       12| -0.00145 -0.00145 -0.00148  -0.0015 -0.00152 -0.00154 -0.00155 -0.00155 -0.00154  -0.0015 -0.00143 -0.00131 -0.00111-0.000803-0.000341 0.000332  0.00126  0.00245  0.00378  0.00498  0.00571  0.00571
       11| -0.00123 -0.00123 -0.00126 -0.00127 -0.00128 -0.00128 -0.00127 -0.00125  -0.0012 -0.00113 -0.00101 -0.00084-0.000594-0.000247  0.00023 0.000859  0.00165  0.00255  0.00346  0.00418  0.00454  0.00454
       10| -0.00104 -0.00104 -0.00106 -0.00107 -0.00107 -0.00106 -0.00103-0.000983-0.000914-0.000812-0.000669-0.000472-0.000208 0.000139 0.000584  0.00113  0.00176  0.00243  0.00305   0.0035  0.00369  0.00369
        9|-0.000869-0.000869-0.000885-0.000888-0.000879-0.000856-0.000817-0.000757-0.000671-0.000553-0.000396-0.000191 7.02e-05 0.000397 0.000791  0.00125  0.00174  0.00224  0.00268  0.00297  0.00307  0.00307
        8|-0.000722-0.000722-0.000735-0.000733-0.000717-0.000686-0.000637-0.000566-0.000471-0.000345-0.000183  1.9e-05 0.000267 0.000562 0.000904  0.00128  0.00167  0.00205  0.00236  0.00256  0.00262  0.00262
        7|-0.000597-0.000597-0.000607-0.000601 -0.00058-0.000543-0.000488-0.000411-0.000309-0.000181-2.08e-05 0.000173 0.000402 0.000666 0.000959  0.00127  0.00158  0.00187   0.0021  0.00224  0.00229  0.00229
        6|-0.000494-0.000494-0.000501-0.000492-0.000468-0.000427-0.000367-0.000286-0.000183-5.44e-05 0.000101 0.000284 0.000494 0.000729 0.000982  0.00124  0.00149  0.00172   0.0019  0.00201  0.00204  0.00204
        5|-0.000412-0.000412-0.000417-0.000406-0.000379-0.000335-0.000272 -0.00019-8.58e-05 4.05e-05  0.00019 0.000362 0.000556 0.000766 0.000987  0.00121  0.00142   0.0016  0.00174  0.00183  0.00185  0.00185
        4|-0.000351-0.000351-0.000355-0.000342-0.000313-0.000267-0.000202-0.000119 -1.5e-05 0.000109 0.000253 0.000416 0.000596 0.000788 0.000985  0.00118  0.00136  0.00152  0.00163   0.0017  0.00172  0.00172
        3|-0.000312-0.000312-0.000314  -0.0003-0.000269-0.000221-0.000155-7.05e-05  3.3e-05 0.000155 0.000296 0.000452 0.000623 0.000801 0.000983  0.00116  0.00132  0.00146  0.00156  0.00162  0.00163  0.00163
        2|-0.000293-0.000293-0.000294-0.000279-0.000247-0.000197 -0.00013-4.41e-05    6e-05 0.000182 0.000321 0.000474 0.000639  0.00081 0.000982  0.00115   0.0013  0.00142  0.00152  0.00157  0.00158  0.00158
        1|-0.000293-0.000293-0.000294-0.000278-0.000245-0.000194-0.000126-3.82e-05 6.72e-05  0.00019  0.00033 0.000483 0.000647 0.000817 0.000986  0.00115  0.00129  0.00142  0.00151  0.00156  0.00157  0.00157
        0|-0.000293-0.000293-0.000294-0.000278-0.000245-0.000194-0.000126-3.82e-05 6.72e-05  0.00019  0.00033 0.000483 0.000647 0.000817 0.000986  0.00115  0.00129  0.00142  0.00151  0.00156  0.00157  0.00157

